,Accession number,UniProt Annotation Status,Description,Cluster numbers
5148,K3VWV3,TrEMBL,Uncharacterized protein ,30
5149,A0A178EGX6,TrEMBL,Acyl-CoA N-acyltransferase ,30
5150,A0A1T3C8W4,TrEMBL,N-acetyltransferase activity ,30
5151,A0A179GUE2,TrEMBL,Acetyltransferase (GNAT) domain-containing protein ,30
5152,F0X9E6,TrEMBL,Acetyltransferase ,30
5153,A0A0F4ZAY9,TrEMBL,Uncharacterized protein ,30
5154,G1U8T4,TrEMBL,Uncharacterized protein ,31
5155,Q9QXT3,SwissProt,N-acetyltransferase 8,31
5156,G3T5M6,TrEMBL,Uncharacterized protein ,31
5157,Q9I8W5,SwissProt,Probable N-acetyltransferase camello,31
5158,A0A287DAQ8,TrEMBL,Uncharacterized protein ,31
5159,Q9QXS4,SwissProt,N-acetyltransferase family 8 member 3 ,31
5160,A0A287DFQ1,TrEMBL,Uncharacterized protein ,31
5161,A0A1A7XMS1,TrEMBL,Uncharacterized protein ,31
5162,F7DR44,TrEMBL,Uncharacterized protein ,31
5163,A0A146ZJS1,TrEMBL,Uncharacterized protein ,31
5164,A0A0G2K3E7,TrEMBL,Probable N-acetyltransferase CML1 ,31
5165,A0A093CWN7,TrEMBL,Putative N-acetyltransferase camello ,31
5166,A0A287D9Y8,TrEMBL,Uncharacterized protein ,31
5167,F6YE19,TrEMBL,Uncharacterized protein ,31
5168,W5NLR6,TrEMBL,Uncharacterized protein ,31
5169,A0A287A7R1,TrEMBL,Uncharacterized protein ,31
5170,F7DIN6,TrEMBL,Uncharacterized protein ,31
5171,Q9JIZ0,SwissProt,Probable N-acetyltransferase CML1,31
5172,A0A1A6H0Y7,TrEMBL,Uncharacterized protein ,31
5173,Q9JIY8,SwissProt,N-acetyltransferase family 8 member 3 ,31
5174,Q8CHQ9,SwissProt,N-acetyltransferase family 8 member 2 ,31
5175,A0A0N8K2Z9,TrEMBL,Putative N-acetyltransferase camello ,31
5176,A0A1S3S9P0,TrEMBL,probable N-acetyltransferase CML1 isoform X1 ,31
5177,F7A5Y4,TrEMBL,Uncharacterized protein ,31
5179,A0A091CU20,TrEMBL,Putative N-acetyltransferase 8B ,31
5180,Q9JIY6,SwissProt,Probable N-acetyltransferase CML6,31
5181,M3Z548,TrEMBL,Uncharacterized protein ,31
5182,E7EZI9,TrEMBL,Si:ch211-195e19.1 ,31
5183,F7A5X8,TrEMBL,Uncharacterized protein ,31
5184,M3XID9,TrEMBL,Uncharacterized protein ,31
5185,A0A212CXG9,TrEMBL,Uncharacterized protein ,31
5187,A0A286YBP0,TrEMBL,Uncharacterized protein ,31
5188,Q9JIY7,SwissProt,N-acetyltransferase 8,31
5189,A0A061I2B0,TrEMBL,Putative N-acetyltransferase CML2-like protein ,31
5190,A0A151PHK7,TrEMBL,N-acetyltransferase 8B isoform A ,31
5191,A0A091CPS0,TrEMBL,Putative N-acetyltransferase CML2 ,31
5192,G3NML0,TrEMBL,Si:ch211-195e19.1 ,31
5193,H3AUT0,TrEMBL,Uncharacterized protein ,31
5194,E3TFS7,TrEMBL,Probable N-acetyltransferase camello ,31
5195,P85118,SwissProt,N-acetyltransferase family 8 member 2 ,31
5196,A0A1S3GRC0,TrEMBL,probable N-acetyltransferase CML1 ,31
5197,H0UY22,TrEMBL,Uncharacterized protein ,31
5198,A0A1S3GQX6,TrEMBL,probable N-acetyltransferase CML6 ,31
5199,A0A1S3GQS5,TrEMBL,N-acetyltransferase 8-like ,31
5200,Q9QXS8,SwissProt,Probable N-acetyltransferase CML5,31
5201,H9GNB7,TrEMBL,Uncharacterized protein ,31
5202,F7EN46,TrEMBL,Uncharacterized loc100145252 ,31
5203,A0A0R4J157,TrEMBL,N-acetyltransferase family 8 member 3 ,31
5204,A0A0P7TV43,TrEMBL,Putative N-acetyltransferase camello ,31
5205,A0A1S2ZGH3,TrEMBL,putative N-acetyltransferase 8B ,31
5206,A0A1S2ZSB1,TrEMBL,putative N-acetyltransferase 8B ,31
5207,F7FSS5,TrEMBL,Uncharacterized protein ,31
5208,F6TUA5,TrEMBL,Uncharacterized protein ,31
5209,L9KNJ6,TrEMBL,Putative N-acetyltransferase 8 ,31
5210,G3VJD7,TrEMBL,Uncharacterized protein ,31
5211,A0A226MCZ6,TrEMBL,Uncharacterized protein ,31
5212,Q9QXT4,SwissProt,Probable N-acetyltransferase CML1,31
5213,A0A151PHE4,TrEMBL,Putative N-acetyltransferase 8B ,31
5214,Q9UHE5,SwissProt,N-acetyltransferase 8,31
5215,Q9QXS7,SwissProt,Probable N-acetyltransferase CML5,31
5216,Q9UHF3,SwissProt,Putative N-acetyltransferase 8B,31
5217,J9P4H1,TrEMBL,Uncharacterized protein ,31
5218,H9KWU0,TrEMBL,Putative N-acetyltransferase 8 ,31
5219,V8N523,TrEMBL,Putative N-acetyltransferase camello ,31
5220,A0A1V4KS06,TrEMBL,Uncharacterized protein ,31
5221,A0A151PHQ0,TrEMBL,Putative N-acetyltransferase camello ,31
5222,A0A1B8XSG6,TrEMBL,Uncharacterized protein ,31
5223,A0A1V4KTM1,TrEMBL,Uncharacterized protein ,31
5224,M7BSZ1,TrEMBL,Putative N-acetyltransferase 8B ,31
5225,L5L4Q7,TrEMBL,Putative N-acetyltransferase 8B ,31
5226,S7PP16,TrEMBL,Putative N-acetyltransferase 8 ,31
5227,G3VF02,TrEMBL,Uncharacterized protein ,31
5228,A0A091CS25,TrEMBL,Putative N-acetyltransferase CML2 ,31
5229,E0CYC6,SwissProt,Putative N-acetyltransferase 8B ,31
5230,F6V6E5,TrEMBL,Uncharacterized protein ,31
5231,A0A1L8HSN3,TrEMBL,Uncharacterized protein ,31
5232,A0A1L8HKE3,TrEMBL,Uncharacterized protein ,31
5233,F6S140,TrEMBL,Uncharacterized protein ,31
5234,A0A250XWX1,TrEMBL,Putative N-acetyltransferase CML1 ,31
5235,H0WDE7,TrEMBL,Uncharacterized protein ,31
5236,Q66KL0,SwissProt,Probable N-acetyltransferase camello,31
5237,A0A251R3J6,TrEMBL,Uncharacterized protein ,32
5238,Q9SZF9,TrEMBL,Uncharacterized protein AT4g37670 ,32
5239,A0A0B0MD75,TrEMBL,Amino-acid acetyltransferase ,32
5240,A0A176W1N9,TrEMBL,Uncharacterized protein ,32
5241,W9S886,TrEMBL,Amino-acid acetyltransferase ,32
5242,A0A1E5UWG4,TrEMBL,Putative amino-acid acetyltransferase NAGS2,32
5243,A0A176VLS3,TrEMBL,Uncharacterized protein ,32
5244,C5XD16,TrEMBL,Uncharacterized protein ,32
5245,A0A1Q3BJH8,TrEMBL,Acetyltransf_1 domain-containing protein/AA_kinase domain-containing protein/DUF2215 domain-containing protein ,32
5246,B5X4Z4,SwissProt,Probable amino-acid acetyltransferase NAGS2,32
5247,A0A218XA34,TrEMBL,Uncharacterized protein ,32
5248,A0A199W0S0,TrEMBL,Putative amino-acid acetyltransferase NAGS1,32
5249,A0A087SEX9,TrEMBL,Amino-acid acetyltransferase ,32
5250,R7Q781,TrEMBL,N-acetylglutamate syntthase,32
5251,D8TFM8,TrEMBL,Uncharacterized protein ,32
5252,A0A087SAM4,TrEMBL,Amino-acid acetyltransferase ,32
5253,M1UNG6,TrEMBL,Amino-acid N-acetyltransferase ,32
5254,A0A1J7G2J8,TrEMBL,Uncharacterized protein ,32
5255,D8RBD8,TrEMBL,Uncharacterized protein ,32
5256,A0A1X6P6A5,TrEMBL,Uncharacterized protein ,32
5258,A0A250WYT6,TrEMBL,Uncharacterized protein ,32
5259,A0A1U8AXE1,TrEMBL,probable amino-acid acetyltransferase NAGS1,32
5260,A0A0B0MPR0,TrEMBL,Amino-acid acetyltransferase ,32
5261,A0A087GSC9,TrEMBL,Uncharacterized protein ,32
5262,A0A1Z5JY99,TrEMBL,Amino-acid N-acetyltransferase ,32
5263,A0A118K5E1,TrEMBL,Acyl-CoA N-acyltransferase ,32
5264,A0A151UDD4,TrEMBL,Amino-acid acetyltransferase ,32
5265,M4DMV7,TrEMBL,Uncharacterized protein ,32
5266,U5DB18,TrEMBL,Uncharacterized protein ,32
5267,A0A151SC88,TrEMBL,Amino-acid acetyltransferase ,32
5268,A0A199UR09,TrEMBL,Putative amino-acid acetyltransferase NAGS1,32
5269,A0A0G4GCP2,TrEMBL,Uncharacterized protein ,32
5270,A0A1I7YPI5,TrEMBL,Uncharacterized protein ,32
5271,A0A1I7YX04,TrEMBL,Uncharacterized protein ,32
5272,A0A059ALL7,TrEMBL,Uncharacterized protein ,32
5273,M2Y7V5,TrEMBL,Amino-acid N-acetyltransferase ,32
5274,D0MTJ5,TrEMBL,Amino-acid acetyltransferase,32
5275,J3MMG9,TrEMBL,Uncharacterized protein ,32
5276,A0A0R0K0F5,TrEMBL,Uncharacterized protein ,32
5277,A0A287HPF0,TrEMBL,Uncharacterized protein ,32
5278,A0A067GUA3,TrEMBL,Uncharacterized protein ,32
5279,E1ZQ16,TrEMBL,Uncharacterized protein ,32
5280,E1Z461,TrEMBL,Uncharacterized protein ,32
5281,R1C226,TrEMBL,N-acetylglutamate synthase ,32
5282,D7FJG3,TrEMBL,Amino-acid N-acetyltransferase ,32
5283,A0A1Y1I3H1,TrEMBL,N-Acetyl glutamate synthase ,32
5284,A0A0G4FV52,TrEMBL,Uncharacterized protein ,32
5285,A0A1E7FRC8,TrEMBL,N-acetylglutamate synthase ,32
5286,C1FGL7,TrEMBL,Uncharacterized protein ,32
5287,A0A1D6II31,TrEMBL,Putative amino-acid acetyltransferase NAGS1 chloroplastic ,32
5288,A0A0K9NI32,TrEMBL,Amino-acid N-acetyltransferase ,32
5289,A0A0D9X0X1,TrEMBL,Uncharacterized protein ,32
5290,A0A0D9X0X3,TrEMBL,Uncharacterized protein ,32
5291,A9RFZ5,TrEMBL,Uncharacterized protein ,32
5292,K8E8X5,TrEMBL,N-acetylglutamate synthase ,32
5293,B8CFS8,TrEMBL,Uncharacterized protein ,32
5294,A0A1D1ZRZ1,TrEMBL,Uncharacterized protein ,32
5295,D8SUG6,TrEMBL,Uncharacterized protein ,32
5296,A0A0D6QUX1,TrEMBL,Uncharacterized protein ,32
5297,A0A0K9QQ93,TrEMBL,Uncharacterized protein ,32
5298,A0A164UD88,TrEMBL,Uncharacterized protein ,32
5299,A0A061RBE4,TrEMBL,Amino-acid N-acetyltransferase ,32
5300,I0Z7P6,TrEMBL,Uncharacterized protein ,32
5301,A0A0J7K005,TrEMBL,N-acetylglutamate synthase ,32
5302,B7FUP3,TrEMBL,Predicted protein ,32
5303,Q84JF4,SwissProt,Probable amino-acid acetyltransferase NAGS1,32
5305,A0A251SIL3,TrEMBL,Putative N-acetyl-l-glutamate synthase 1 ,32
5306,A0A1S4CSH6,TrEMBL,probable amino-acid acetyltransferase NAGS1,32
5307,K0RN40,TrEMBL,Uncharacterized protein ,32
5308,C1MS73,TrEMBL,Predicted protein ,32
5309,A0A1Q9D3W4,TrEMBL,Amino-acid acetyltransferase ,32
5310,A0A1V9ZJG4,TrEMBL,Amino-acid acetyltransferase ,32
5311,F0Y6U0,TrEMBL,Uncharacterized protein NAT2 ,32
5312,A0A1S3B1T5,TrEMBL,probable amino-acid acetyltransferase NAGS2,32
5313,A8J0U5,TrEMBL,N-acetylglutamate synthase ,32
5314,B9SH12,TrEMBL,N-acetyltransferase,32
5315,A0A1D6PMT4,TrEMBL,Putative amino-acid acetyltransferase NAGS1 chloroplastic ,32
5316,F0WRQ7,TrEMBL,Aminoacid acetyltransferase putative ,32
5317,L7JTJ8,TrEMBL,Elongator complex protein 3 ,33
5318,A4I0J4,TrEMBL,Acetyltransferase-like protein ,33
5319,A0A1R2BP11,TrEMBL,Elongator complex protein 3 ,33
5320,Q2KJ61,SwissProt,Elongator complex protein 3,33
5321,Q9H9T3,SwissProt,Elongator complex protein 3 ShorthELP3,33
5322,A0A0L8FYS2,TrEMBL,Uncharacterized protein ,33
5323,Q9VQZ6,SwissProt,Probable elongator complex protein 3,33
5324,A0A0V0QRV3,TrEMBL,Elongator complex protein 3 ,33
5325,A0A196S5T7,TrEMBL,Elongator complex protein 3 ,33
5326,L7MJM5,TrEMBL,Putative rna polymerase ii elongator complex subunit elp3/histone acetyltransferase ,33
5327,A0A167YHB2,TrEMBL,Histone acetyltransferase ,33
5328,S7WAR6,TrEMBL,Elongator complex protein 3 ,33
5329,Q4RF44,TrEMBL,Chromosome 14 SCAF15120,33
5330,A4HWS3,TrEMBL,Elongator-like_Protein_3a_-_putative ,33
5331,A0A1R1XDT8,TrEMBL,Elongator complex protein 3 ,33
5332,A0A1R0GUE2,TrEMBL,Elongator complex protein 3 ,33
5333,C5LD08,TrEMBL,Uncharacterized protein ,33
5334,D8LJR5,TrEMBL,ELP3 like acetyltransferase involved in transcription ,33
5335,W4G0P5,TrEMBL,Uncharacterized protein ,33
5336,B4DPB7,TrEMBL,Elongator complex protein 3 ,33
5337,Q93ZR1,SwissProt,Elongator complex protein 3 ,33
5338,Q5RIC0,SwissProt,Elongator complex protein 3,33
5339,Q5HZM6,SwissProt,Elongator complex protein 3,33
5340,K0RJ87,TrEMBL,Elongator complex protein 3 ,33
5341,D8S2P2,TrEMBL,Uncharacterized protein ,33
5342,D8S2N7,TrEMBL,Uncharacterized protein ,33
5343,D8RL98,TrEMBL,Uncharacterized protein ,33
5344,Q60LW7,SwissProt,Probable elongator complex protein 3,33
5345,D8RL82,TrEMBL,Uncharacterized protein ,33
5346,Q02908,SwissProt,Elongator complex protein 3,33
5347,B4DKA4,TrEMBL,Elongator complex protein 3 ,33
5348,A0A1J5X197,TrEMBL,Elongator complex protein 3 ,33
5349,G3QQ56,TrEMBL,Elongator complex protein 3 ,33
5350,R7Q853,TrEMBL,Elongator complex protein 3 ,33
5351,M1V8V1,TrEMBL,Elongator complex protein 3 ,33
5352,U5HI40,TrEMBL,Elongator complex protein 3 ,33
5353,Q9CZX0,SwissProt,Elongator complex protein 3,33
5354,A0A218UD92,TrEMBL,Elongator complex protein 3 ,33
5355,A0A0P5XDT6,TrEMBL,Elongator complex protein 3 ,33
5356,A2E0C1,TrEMBL,Elongator complex protein 3 ,33
5357,A0A199V4M2,TrEMBL,Elongator complex protein 3 ,33
5358,A0A163JXW6,TrEMBL,Uncharacterized protein ,33
5359,A0A0M8MY17,TrEMBL,Histone acetyltransferase elp3 ,33
5360,R0MKU3,TrEMBL,Elongator complex protein 3 ,33
5361,R9ADH8,TrEMBL,Elongator complex protein 3 ,33
5362,A0A164U749,TrEMBL,Uncharacterized protein ,33
5363,O14023,SwissProt,Probable elongator complex protein 3,33
5364,A0A098VVB0,TrEMBL,Elongator complex protein 3 ,33
5366,Q5ZHS1,SwissProt,Elongator complex protein 3,33
5367,A0A0G4IZT9,TrEMBL,Elongator complex protein 3 ,33
5368,L2GKA7,TrEMBL,Elongator complex protein 3 ,33
5369,H3GM80,TrEMBL,Uncharacterized protein ,33
5370,Q23651,SwissProt,Probable elongator complex protein 3,33
5371,A0A0L0SXW3,TrEMBL,Elongator complex protein 3 ,33
5372,Q6NVL5,SwissProt,Elongator complex protein 3,33
5373,Q1ZXC6,SwissProt,Probable elongator complex protein 3,33
5374,A0A0C2M9I8,TrEMBL,Elongator complex protein 3 ,33
5375,A0A1S8WLK2,TrEMBL,Histone acetyltransferase,33
5376,G0U1G5,TrEMBL,Putative histone acetyltransferase-like protein ,33
5377,A0A0J8QTK4,TrEMBL,Elongator complex protein 3 ,33
5378,A0A177EGJ9,TrEMBL,Elongator complex protein 3 ,33
5379,A0A0V0V6D6,TrEMBL,Elongator complex protein 3 ,33
5380,A0A1V2LED9,TrEMBL,Elongator complex protein 3 ,33
5381,A0A0C2CAA9,TrEMBL,Uncharacterized protein ,33
5382,A0A0L0DGM0,TrEMBL,Elongator complex protein 3 ,33
5383,A0A0N5E2D4,TrEMBL,Uncharacterized protein ,33
5384,A0A150GVP3,TrEMBL,Elongator complex protein 3 ,33
5385,W9RGR0,TrEMBL,Elongator complex protein 3 ,33
5386,B4DXV1,TrEMBL,cDNA FLJ58642,33
5387,T2M564,TrEMBL,Elongator complex protein 3 ,33
5388,A0A0L0CN42,TrEMBL,Uncharacterized protein ,33
5389,W7UBS6,TrEMBL,Elongator complex protein 3 ,33
5390,A0A0L1KIR1,TrEMBL,Histone acetyltransferase-like protein ,33
5391,Q7X7L3,SwissProt,Elongator complex protein 3,33
5392,J4C7Y8,TrEMBL,Histone acethyltransferase-like protein ,33
5394,A0A182W6N4,TrEMBL,Uncharacterized protein ,33
5395,A0A166LJ06,TrEMBL,Uncharacterized protein ,34
5396,W4KMR3,TrEMBL,Uncharacterized protein ,34
5397,A0A1C7LTK1,TrEMBL,Uncharacterized protein ,34
5398,A0A0C3EC17,TrEMBL,Uncharacterized protein ,34
5399,A0A165DXV1,TrEMBL,Uncharacterized protein ,34
5400,D8QAA2,TrEMBL,Uncharacterized protein ,34
5401,A0A1Y2IED4,TrEMBL,Uncharacterized protein ,34
5402,A0A0C3FJ57,TrEMBL,Uncharacterized protein ,34
5403,A0A284QP53,TrEMBL,Uncharacterized protein ,34
5404,A0A0C3KRW3,TrEMBL,Uncharacterized protein ,34
5405,A0A165CW28,TrEMBL,Uncharacterized protein ,34
5406,A0A0D7A5T4,TrEMBL,Uncharacterized protein ,34
5407,A0A146HTY6,TrEMBL,Uncharacterized protein ,34
5408,A0A067N252,TrEMBL,Uncharacterized protein ,34
5409,A0A0C3K7K6,TrEMBL,Uncharacterized protein ,34
5410,A0A067P5K2,TrEMBL,Uncharacterized protein ,34
5411,A0A0C3BQP7,TrEMBL,Uncharacterized protein ,34
5412,F8P0T9,TrEMBL,Uncharacterized protein ,34
5413,A0A166J7W6,TrEMBL,Uncharacterized protein ,34
5414,L8WU50,TrEMBL,Acetyltransferase (GNAT) family domain-containing protein ,34
5415,A0A1J8QE67,TrEMBL,Uncharacterized protein ,34
5416,A0A165WA70,TrEMBL,Uncharacterized protein ,34
5417,A0A146IC77,TrEMBL,Uncharacterized protein ,34
5418,K5WQB6,TrEMBL,Uncharacterized protein ,34
5419,A0A165ULL3,TrEMBL,Uncharacterized protein ,34
5420,A0A0H2RF80,TrEMBL,Acyl-CoA N-acyltransferase ,34
5421,A0A1C7MRQ8,TrEMBL,Uncharacterized protein ,34
5422,A0A1C7MRZ6,TrEMBL,Uncharacterized protein ,34
5423,A0A1J8QFY2,TrEMBL,N-acyltransferase superfamily ,34
5424,A0A1J8QID1,TrEMBL,Uncharacterized protein ,34
5425,A0A0H2S770,TrEMBL,Uncharacterized protein ,34
5426,A0A0C3BVA6,TrEMBL,Uncharacterized protein ,34
5427,A0A0L6WZV1,TrEMBL,Uncharacterized protein ,34
5428,A0A165WA82,TrEMBL,Uncharacterized protein ,34
5429,S8FS26,TrEMBL,Uncharacterized protein ,34
5430,A0A165U664,TrEMBL,Uncharacterized protein ,34
5431,A8N591,TrEMBL,Uncharacterized protein ,34
5432,A0A0D7B7V8,TrEMBL,Uncharacterized protein ,34
5433,A0A165T3K9,TrEMBL,Uncharacterized protein ,34
5434,A0A0C2SC76,TrEMBL,Uncharacterized protein ,34
5435,A0A165E5D2,TrEMBL,Uncharacterized protein ,34
5436,A0A1X6NFQ7,TrEMBL,Uncharacterized protein ,34
5437,J4IB79,TrEMBL,Uncharacterized protein ,34
5438,A0A0L6X080,TrEMBL,Uncharacterized protein ,34
5439,K5Y0G7,TrEMBL,Uncharacterized protein ,34
5440,A0A0C3LCV6,TrEMBL,Uncharacterized protein ,34
5441,A0A0C2XTU7,TrEMBL,Uncharacterized protein ,34
5442,A0A167TIP2,TrEMBL,Uncharacterized protein ,34
5443,A0A074SJY1,TrEMBL,GNAT family acetyltransferase ,34
5444,B0DXY8,TrEMBL,Predicted protein ,34
5445,A0A0D0DM61,TrEMBL,Unplaced genomic scaffold scaffold_726,34
5447,S7QKN0,TrEMBL,Uncharacterized protein ,34
5448,V2YLW1,TrEMBL,Acetyltransferase ,34
5449,G4T9Q1,TrEMBL,Uncharacterized protein ,34
5451,A0A067MRA6,TrEMBL,Uncharacterized protein ,34
5452,A0A0C9YYK2,TrEMBL,Unplaced genomic scaffold scaffold_3,34
5453,A0A0C9ZJG0,TrEMBL,Unplaced genomic scaffold CY34scaffold_311,34
5454,A0A0D2PD48,TrEMBL,Uncharacterized protein ,34
5455,G4TFE4,TrEMBL,Uncharacterized protein ,34
5456,A0A0D0BEL4,TrEMBL,Unplaced genomic scaffold GYMLUscaffold_20,34
5457,A0A0D0BIS6,TrEMBL,Unplaced genomic scaffold CY34scaffold_1,34
5458,A0A067T6J3,TrEMBL,Uncharacterized protein ,34
5459,A0A165FA92,TrEMBL,Uncharacterized protein ,34
5460,A0A067Q829,TrEMBL,Uncharacterized protein ,34
5461,A0A067NXM2,TrEMBL,Uncharacterized protein ,34
5462,A0A0K6G3T1,TrEMBL,Uncharacterized protein ,34
5463,A0A0D0E7B2,TrEMBL,Unplaced genomic scaffold scaffold_108,34
5464,A0A0C3Q528,TrEMBL,Uncharacterized protein ,34
5466,W4KPY2,TrEMBL,Uncharacterized protein ,34
5467,A0A067Q8A0,TrEMBL,Uncharacterized protein ,34
5468,A0A167M7M0,TrEMBL,Uncharacterized protein ,34
5469,A0A137QNL7,TrEMBL,Uncharacterized protein ,34
5470,A0A0C3S7M7,TrEMBL,Uncharacterized protein ,34
5471,A0A067NSP3,TrEMBL,Uncharacterized protein ,34
5472,J0WTA7,TrEMBL,Uncharacterized protein ,34
5473,A0A1E3PVD1,TrEMBL,Uncharacterized protein ,35
5474,A0A1K0GWF8,TrEMBL,Uncharacterized protein ,35
5475,M7V398,TrEMBL,Putative acyl-n-acyltransferase protein ,35
5476,A0A136JCZ9,TrEMBL,Acetyltransferase ,35
5477,S3CEV8,TrEMBL,Acyl-CoA N-acyltransferases (Nat) ,35
5478,A0A0P7BE25,TrEMBL,Uncharacterized protein ,35
5479,A0A179FTJ8,TrEMBL,Acetyltransferase (GNAT) family domain-containing protein ,35
5480,A0A1B9IW44,TrEMBL,Uncharacterized protein ,35
5481,M9MGS4,TrEMBL,Uncharacterized protein ,35
5482,A0A1J9RDQ2,TrEMBL,Acyl-n-acyltransferase protein ,35
5483,A0A177C7B0,TrEMBL,Acyl-CoA N-acyltransferase ,35
5484,A0A1J9RNE1,TrEMBL,Acyl-n-acyltransferase protein ,35
5485,A0A0D1YES3,TrEMBL,Uncharacterized protein ,35
5486,A0A1B9IUJ1,TrEMBL,Uncharacterized protein ,35
5487,A0A0B1P1E4,TrEMBL,Putative acyl-n-acyltransferase protein ,35
5488,A0A1B9IUL9,TrEMBL,Uncharacterized protein ,35
5489,W3XQJ2,TrEMBL,Uncharacterized protein ,35
5490,N4V1P8,TrEMBL,GNAT family protein ,35
5491,A0A1A6AFA0,TrEMBL,Uncharacterized protein ,35
5492,M7SCN4,TrEMBL,Putative acyl-n-acyltransferase protein ,35
5493,A0A0D1ZCE4,TrEMBL,Uncharacterized protein ,35
5494,A0A0N8H6R0,TrEMBL,Uncharacterized protein ,35
5495,W9IJ37,TrEMBL,Uncharacterized protein ,35
5496,R1ENG3,TrEMBL,Putative acyl-n-acyltransferase protein ,35
5497,A0A1B9G9A6,TrEMBL,Uncharacterized protein ,35
5498,A0A1B9H6H2,TrEMBL,Uncharacterized protein ,35
5499,A0A164ZW57,TrEMBL,Acyl-CoA N-acyltransferase ,35
5500,A0A1A7MFC7,TrEMBL,Uncharacterized protein ,35
5501,A0A0D2FKM1,TrEMBL,Uncharacterized protein ,35
5503,A0A1B8FLQ6,TrEMBL,Uncharacterized protein ,35
5504,A0A1B7YLC6,TrEMBL,Acetyltransferase ,35
5505,A0A161YI96,TrEMBL,Gnat family acetyltransferase ,35
5506,A0A1E3HG61,TrEMBL,Uncharacterized protein ,35
5507,A0A0N1NWE7,TrEMBL,Uncharacterized protein ,35
5508,A0A0D2J298,TrEMBL,Rhinocladiella mackenziei CBS 650.93 unplaced genomic scaffold supercont1.1,35
5509,A0A1B9ICS7,TrEMBL,Uncharacterized protein ,35
5510,A0A0D1ZP81,TrEMBL,Uncharacterized protein ,35
5511,A0A194W1X4,TrEMBL,Spermidine/spermine N(1)-acetyltransferase ,35
5512,A0A166J3D5,TrEMBL,Acyl-CoA N-acyltransferase ,35
5513,A0A0L0NJM3,TrEMBL,Putative N-acetyltransferase ,35
5514,A0A0D1YT14,TrEMBL,Uncharacterized protein ,35
5515,W2S9F7,TrEMBL,Uncharacterized protein ,35
5516,A0A0G2DXW4,TrEMBL,Putative acyl-n-acyltransferase ,35
5517,A0A1A6AD86,TrEMBL,Uncharacterized protein ,35
5518,A0A1E1MCZ4,TrEMBL,Related to Protease synthase and sporulation negative regulatory protein PAI 1 ,35
5519,A0A179HEX1,TrEMBL,Protease synthase and sporulation negative regulatory protein PAI 1 ,35
5520,A0A177V916,TrEMBL,Uncharacterized protein ,35
5521,A0A179I6M6,TrEMBL,Uncharacterized protein ,35
5522,A0A1B9G656,TrEMBL,Uncharacterized protein ,35
5523,K1WKZ8,TrEMBL,Acetyltransferase ,35
5524,K2QZD6,TrEMBL,Uncharacterized protein ,35
5525,A0A074W640,TrEMBL,Acetyltransferase ,35
5526,A0A1Y1U684,TrEMBL,Acyl-CoA N-acyltransferase ,35
5527,A0A1V6QFQ2,TrEMBL,Uncharacterized protein ,35
5528,A0A1Y2VLD4,TrEMBL,Uncharacterized protein ,35
5529,C7ZD34,TrEMBL,Uncharacterized protein ,35
5530,A0A074YDW1,TrEMBL,Uncharacterized protein ,35
5531,A0A074VSI3,TrEMBL,Acyl-CoA N-acyltransferase ,35
5532,L2FUM1,TrEMBL,GNAT family acetyltransferase ,35
5533,A0A1L7WR59,TrEMBL,Uncharacterized protein ,35
5534,C9SC80,TrEMBL,Acetyltransferase ,35
5535,A0A072PDM2,TrEMBL,Uncharacterized protein ,35
5536,A0A072NWU2,TrEMBL,Uncharacterized protein ,35
5537,A0A1L9VR74,TrEMBL,Uncharacterized protein ,35
5538,I1RTS6,TrEMBL,Uncharacterized protein ,35
5539,A0A084G320,TrEMBL,Uncharacterized protein ,35
5540,A0A1W2TSW1,TrEMBL,Putative acyl-n-acyltransferase protein ,35
5541,A0A218YT10,TrEMBL,Uncharacterized protein ,35
5542,H6BW58,TrEMBL,Uncharacterized protein ,35
5543,A0A084RCX3,TrEMBL,Uncharacterized protein ,35
5544,A0A1Y2WXK5,TrEMBL,Uncharacterized protein ,35
5545,A0A1Y2AKL1,TrEMBL,Acyl-CoA N-acyltransferase ,35
5546,A0A1Y2AFU5,TrEMBL,Acyl-CoA N-acyltransferase ,35
5547,B6HJ75,TrEMBL,Pc21g23900 protein ,35
5548,A0A1Y2VV05,TrEMBL,Uncharacterized protein ,35
5549,D8SIQ9,TrEMBL,Uncharacterized protein ,36
5550,A2Y5T7,SwissProt,Serotonin N-acetyltransferase 1,36
5551,A0A023HR43,TrEMBL,Hypothetical chloroplast protein 174 ,36
5552,A0A059A085,TrEMBL,Uncharacterized protein ,36
5553,A0A1U7Z1T0,TrEMBL,serotonin N-acetyltransferase 1,36
5554,W1P8L0,TrEMBL,Uncharacterized protein ,36
5555,A0A1J7I073,TrEMBL,Uncharacterized protein ,36
5556,Q1XDU5,SwissProt,Uncharacterized N-acetyltransferase ycf52,36
5557,A0A1G4NUU5,TrEMBL,Uncharacterized protein ,36
5558,A0A1X9PTM6,TrEMBL,Conserved hypothetical plastid protein ,36
5559,Q6B949,SwissProt,Uncharacterized N-acetyltransferase ycf52,36
5560,Q5KQI6,SwissProt,Serotonin N-acetyltransferase 1,36
5561,A0A1Z1M0S8,TrEMBL,Uncharacterized protein ,36
5562,Q7X9V3,SwissProt,Acetyltransferase NSI,36
5563,A0A224XFI6,TrEMBL,Serotonin N-acetyltransferase ,36
5564,A0A0A0L2Y1,TrEMBL,Uncharacterized protein ,36
